Time,Account Balance,Real Account Balance,Margin Ratio,Prediction Side,Trade Side,Trade On,Trade Size,Trade Dolars,Coin Price,St Value
02/09/23 23:03:33,7.9846422,7.84933142,2.45,Short,Short,True,-0.025,7.68,1555.685,1606.316774860671
02/10/23 00:03:34,7.9885039,7.7442539,2.4899999999999998,Short,Short,True,-0.025,7.68,1555.685,1606.316774860671
02/10/23 01:03:38,7.9885039,7.70137026,2.5100000000000002,Short,Short,True,-0.025,7.68,1555.685,1606.316774860671
02/10/23 02:03:40,7.9885039,7.63365813,2.54,Short,Short,True,-0.025,7.68,1555.685,1606.316774860671
02/10/23 03:03:40,7.9885039,7.75765959,2.4899999999999998,Short,Short,True,-0.025,7.68,1555.685,1606.316774860671
02/10/23 04:03:36,7.9885039,7.8127539,2.4699999999999998,Short,Short,True,-0.025,7.68,1555.685,1606.316774860671
02/10/23 05:03:36,7.9885039,7.99447067,2.4,Short,Short,True,-0.025,7.68,1555.685,1606.316774860671
02/10/23 06:03:52,7.9885039,7.82087642,2.4699999999999998,Short,Short,True,-0.025,7.68,1555.685,1606.316774860671
02/10/23 07:03:29,7.9885039,7.6602539,2.53,Short,Short,True,-0.025,7.68,1555.685,1606.316774860671
02/10/23 08:03:39,7.99115094,7.64254322,2.53,Short,Short,True,-0.025,7.68,1555.685,1606.316774860671
02/10/23 09:03:41,7.99115094,7.63196205,2.54,Short,Short,True,-0.025,7.68,1555.685,1606.316774860671
02/10/23 10:03:39,7.99115094,7.73971567,2.5,Short,Short,True,-0.025,7.68,1555.685,1606.316774860671
02/10/23 11:03:37,7.99115094,7.80814334,2.4699999999999998,Short,Short,True,-0.025,7.68,1555.685,1606.316774860671
02/10/23 12:03:39,7.99115094,7.98649778,2.4,Short,Short,True,-0.025,7.68,1555.685,1606.316774860671
02/10/23 13:03:27,7.99115094,7.99663528,2.4,Short,Short,True,-0.025,7.68,1555.685,1606.316774860671
02/10/23 14:03:35,7.99115094,7.96866642,2.41,Short,Short,True,-0.025,7.68,1555.685,1606.316774860671
02/10/23 15:03:36,7.99115094,7.91801431,2.4299999999999997,Short,Short,True,-0.025,7.68,1555.685,1606.316774860671
02/10/23 16:03:23,7.99495486,8.18876615,2.33,Short,Short,True,-0.025,7.68,1555.685,1606.316774860671
02/10/23 17:03:23,7.99495486,8.35995486,2.27,Short,Short,True,-0.025,7.68,1555.685,1606.316774860671
02/10/23 18:03:30,7.99495486,8.29762587,2.3,Short,Short,True,-0.025,7.68,1555.685,1606.316774860671
02/10/23 19:03:38,7.99495486,8.20645486,2.33,Short,Short,True,-0.025,7.68,1555.685,1606.316774860671
02/10/23 20:03:32,7.99495486,8.06198383,2.3800000000000003,Short,Short,True,-0.025,7.68,1555.685,1606.316774860671
02/10/23 21:03:28,7.99495486,8.20270486,2.33,Short,Short,True,-0.025,7.68,1555.685,1606.316774860671
02/10/23 22:03:37,7.99495486,8.62945486,2.19,Short,Short,True,-0.025,7.68,1555.685,1606.316774860671
02/10/23 23:03:34,7.99495486,8.61945486,2.19,Short,Short,True,-0.025,7.68,1555.685,1606.316774860671
02/11/23 00:03:35,7.9974014,8.58146277,2.1999999999999997,Short,Short,True,-0.025,7.68,1555.685,1606.316774860671
02/11/23 01:03:50,7.9974014,8.5281514,2.22,Short,Short,True,-0.025,7.68,1555.685,1606.316774860671
02/11/23 02:03:22,7.9974014,8.5969014,2.1999999999999997,Short,Short,True,-0.025,7.68,1555.685,1606.316774860671
