Time,Price,Side
02/23/23 19:04:38,1643.11,Short
02/23/23 19:05:34,1644.45,Short
02/23/23 19:06:28,1645.15,Short
02/23/23 19:07:24,1645.47,Short
02/23/23 19:08:34,1645.81,Short
02/23/23 19:09:28,1646.03,Short
02/23/23 19:10:22,1646.39,Short
02/23/23 19:11:33,1649.02,Short
02/23/23 19:12:28,1649.7,Short
02/23/23 19:13:26,1648.71,Short
02/23/23 19:14:40,1650.05,Short
02/23/23 19:15:37,1650.95,Short
02/23/23 19:16:33,1652.28,Short
02/23/23 19:17:26,1654.14,Short
02/23/23 19:18:38,1653.29,Short
02/23/23 19:19:34,1653.47,Short
02/23/23 19:20:28,1654.81,Short
02/23/23 19:21:22,1653.26,Short
02/23/23 19:22:31,1655.01,Short
02/23/23 19:23:27,1653.33,Short
02/23/23 19:24:38,1654.41,Short
02/23/23 19:25:35,1654.26,Short
02/23/23 19:26:29,1653.75,Short
02/23/23 19:27:25,1653.37,Short
02/23/23 19:28:36,1654.28,Short
02/23/23 19:29:30,1653.43,Short
02/23/23 19:30:28,1653.62,Short
02/23/23 19:31:22,1653.93,Short
02/23/23 19:32:34,1654.81,Short
02/23/23 19:33:28,1654.28,Short
02/23/23 19:34:21,1655.14,Short
02/23/23 19:35:31,1656.33,Short
02/23/23 19:36:29,1655.59,Short
02/23/23 19:37:28,1655.13,Short
02/23/23 19:38:25,1654.58,Short
02/23/23 19:39:36,1653.31,Short
02/23/23 19:40:34,1653.6,Short
02/23/23 19:41:28,1652.11,Short
02/23/23 19:42:24,1652.37,Short
02/23/23 19:43:35,1652.92,Short
02/23/23 19:44:29,1653.36,Short
02/23/23 19:45:26,1653.69,Short
02/23/23 19:46:36,1654.7,Short
02/23/23 19:47:35,1652.63,Short
02/23/23 19:48:33,1653.55,Short
02/23/23 19:49:28,1653.65,Short
02/23/23 19:50:24,1654.02,Short
02/23/23 19:51:37,1653.51,Short
02/23/23 19:52:33,1652.99,Short
02/23/23 19:53:28,1652.42,Short
02/23/23 19:54:25,1651.79,Short
02/23/23 19:55:36,1653.44,Short
02/23/23 19:56:31,1651.7,Short
02/23/23 19:57:26,1651.04,Short
02/23/23 19:58:37,1652.74,Short
02/23/23 19:59:35,1652.92,Short
02/23/23 20:04:34,1655.22,Short
02/23/23 20:05:29,1656.37,Short
02/23/23 20:06:25,1655.99,Short
02/23/23 20:07:36,1654.85,Short
02/23/23 20:08:31,1653.94,Short
02/23/23 20:09:30,1653.07,Short
02/23/23 20:10:26,1653.87,Short
02/23/23 20:11:37,1654.22,Short
02/23/23 20:12:33,1656.04,Short
02/23/23 20:13:29,1655.3,Short
02/23/23 20:14:29,1657.42,Short
02/23/23 20:15:25,1656.72,Short
02/23/23 20:16:36,1657.43,Short
02/23/23 20:17:30,1656.54,Short
02/23/23 20:18:26,1656.8,Short
02/23/23 20:19:37,1655.84,Short
02/23/23 20:20:32,1654.95,Short
02/23/23 20:21:27,1654.51,Short
02/23/23 20:22:23,1657.17,Short
02/23/23 20:23:36,1656.18,Short
02/23/23 20:24:32,1656.81,Short
02/23/23 20:25:30,1655.75,Short
02/23/23 20:26:27,1655.53,Short
02/23/23 20:27:24,1656.46,Short
02/23/23 20:28:35,1656.82,Short
02/23/23 20:29:28,1656.29,Short
02/23/23 20:30:24,1655.69,Short
02/23/23 20:31:35,1654.8,Short
02/23/23 20:32:30,1654.35,Short
02/23/23 20:33:26,1656.26,Short
02/23/23 20:34:37,1655.66,Short
02/23/23 20:35:34,1655.48,Short
02/23/23 20:36:30,1656.13,Short
02/23/23 20:37:26,1654.66,Short
02/23/23 20:38:37,1655.02,Short
02/23/23 20:39:33,1653.93,Short
02/23/23 20:40:27,1653.03,Short
02/23/23 20:41:22,1653.27,Short
02/23/23 20:42:34,1653.28,Short
02/23/23 20:43:29,1654.31,Short
02/23/23 20:44:23,1652.64,Short
02/23/23 20:45:36,1652.87,Short
02/23/23 20:46:38,1652.95,Short
02/23/23 20:47:34,1652.82,Short
02/23/23 20:48:30,1652.63,Short
02/23/23 20:49:26,1651.12,Short
02/23/23 20:50:35,1651.4,Short
02/23/23 20:51:30,1650.36,Short
02/23/23 20:52:26,1651.35,Short
02/23/23 20:53:37,1650.01,Short
02/23/23 20:54:34,1649.59,Short
02/23/23 20:55:28,1649.58,Short
02/23/23 20:56:23,1651.25,Short
02/23/23 20:57:35,1651.04,Short
02/23/23 20:58:31,1651.57,Short
02/23/23 20:59:26,1650.83,Short
02/23/23 21:04:39,1651.01,Short
02/23/23 21:05:34,1651.42,Short
