Time,Bot,Status,Side,Trade On,Size,Price,St
2023/02/07 17:58:03,Indias,Sold,None,False,0,1650.8075,1633.7180255234941
2023/02/08 01:01:52,Indias,Sold,None,False,0,1678.61,1660.1597915183238
2023/02/08 02:01:42,Indias,Sold,None,False,0,1679.725,1660.055159117543
2023/02/09 04:02:15,Indias,Sold,Long,True,0.278,1617.925,1635.2674410265024
2023/02/09 04:02:16,Indias,Bought,Long,True,0.278,1617.925,1635.2674410265024
2023/02/09 15:02:22,Indias,Sold,Short,True,-0.22,1640.69,1630.6407468121192
2023/02/09 15:02:23,Indias,Bought,Short,True,-0.22,1640.69,1630.6407468121192
2023/02/09 16:02:21,Indias,Sold,Long,True,0.199,1631.88,1640.2024997468336
2023/02/09 16:02:21,Indias,Bought,Long,True,0.199,1631.88,1640.2024997468336
2023/02/09 21:02:22,Indias,Sold,None,False,0,1575.1175,1605.72199281773
2023/02/13 18:02:16,Indias,Sold,None,False,0,1508.17,1528.2419474142212
2023/02/15 11:02:28,Indias,Sold,Short,True,-0.028,1553.5375,1545.8067085334217
2023/02/15 11:02:29,Indias,Bought,Short,True,-0.028,1553.5375,1545.8067085334217
2023/02/15 13:02:21,Indias,Sold,None,False,0,1562.3375,1545.5365946752563
2023/02/15 19:02:23,Indias,Sold,None,False,0,1562.3375,1545.5365946752563
2023/02/15 21:02:12,Indias,Sold,None,False,0,1650.4274999999998,1601.0674393597187
2023/02/15 22:02:15,Indias,Sold,None,False,0,1650.485,1601.0674393597187
2023/02/15 23:02:25,Indias,Sold,None,False,0,1650.485,1601.0674393597187
2023/02/16 00:02:16,Indias,Sold,None,False,0,1650.485,1601.0674393597187
2023/02/16 14:02:14,Indias,Sold,None,False,0,1685.265,1680.7026878620352
2023/02/20 22:02:23,Indias,Sold,None,False,0,1706.2225,1698.2672575611139
2023/02/21 02:02:15,Indias,Sold,None,False,0,1706.2225,1698.2672575611139
2023/02/21 03:02:20,Indias,Sold,None,False,0,1706.2225,1698.2672575611139
2023/02/21 04:02:24,Indias,Sold,None,False,0,1706.2225,1698.2672575611139
2023/02/21 09:02:09,Indias,Sold,None,False,0,1699.8025,1698.2672575611139
2023/02/22 16:02:21,Indias,Sold,None,False,0,1699.8025,1698.2672575611139
2023/02/22 20:02:24,Indias,Sold,None,False,0,1699.8025,1698.2672575611139
2023/02/22 21:02:26,Indias,Sold,None,False,0,1699.8025,1698.2672575611139
2023/02/23 01:02:21,Indias,Sold,Short,True,-3.767,1699.8025,1698.2672575611139
2023/02/23 01:02:22,Indias,Bought,Short,True,-3.767,1699.8025,1698.2672575611139
2023/02/23 02:02:15,Indias,Sold,None,False,0,1699.8025,1698.2672575611139
2023/02/23 19:02:14,Indias,Sold,Long,True,0.064,1643.5225,1657.855595172107
2023/02/23 19:02:15,Indias,Bought,Long,True,0.064,1643.5225,1657.855595172107
