time,Open,High,Low,Close,Volume
1609459200000,737.18,750.40,730.00,749.33,262176.588
1609466400000,749.37,750.40,743.23,745.88,118815.237
1609473600000,745.90,748.04,740.41,741.61,99214.614
1609480800000,741.73,744.09,735.10,738.18,129402.994
1609488000000,738.18,739.55,725.59,734.38,212842.513
1609495200000,734.38,742.90,733.81,739.88,114559.424
1609502400000,739.89,744.61,732.86,741.06,243948.986
1609509600000,741.08,743.83,734.13,736.06,139913.046
1609516800000,736.11,738.43,727.50,729.02,147800.661
1609524000000,728.80,732.80,714.55,725.68,298401.528
1609531200000,725.69,731.56,722.88,728.89,112947.569
1609538400000,728.89,732.86,726.60,729.77,72268.090
1609545600000,729.70,732.57,715.60,730.20,301296.924
1609552800000,730.19,735.38,729.55,731.42,123998.852
1609560000000,731.44,734.16,727.05,732.84,104315.814
1609567200000,732.84,741.70,731.28,735.82,199659.409
1609574400000,735.76,739.43,723.25,726.31,213037.326
1609581600000,726.29,734.85,724.00,730.50,125306.284
1609588800000,730.47,774.81,729.31,772.35,849673.175
1609596000000,772.43,772.85,755.00,769.57,390025.431
1609603200000,769.57,786.90,765.49,780.11,695761.937
1609610400000,780.03,788.71,772.75,785.41,298857.618
1609617600000,785.40,786.20,754.69,769.73,678592.123
1609624800000,769.78,778.21,763.46,775.02,195983.688
1609632000000,775.04,779.55,771.37,777.50,183815.200
1609639200000,777.49,782.37,771.94,773.22,126192.313
1609646400000,773.22,792.00,769.19,787.48,346046.555
1609653600000,787.44,807.44,784.32,801.05,440014.376
1609660800000,800.99,827.04,792.45,819.93,540739.380
1609668000000,819.76,834.00,817.50,830.97,434960.893
1609675200000,830.97,891.82,827.62,876.67,870713.483
1609682400000,876.67,926.62,866.00,919.75,1769593.519
1609689600000,919.97,985.79,919.82,939.94,1968020.122
1609696800000,939.94,946.88,894.21,923.78,885520.510
1609704000000,923.67,968.48,921.65,952.01,737906.991
1609711200000,952.16,1022.51,947.00,980.24,1306744.460
1609718400000,980.23,998.00,953.91,969.63,652068.739
1609725600000,969.76,1030.00,964.47,1025.00,549297.250
1609732800000,1025.04,1098.80,1015.12,1086.44,1028743.220
1609740000000,1086.48,1173.94,1031.00,1052.32,2059791.459
1609747200000,1052.05,1085.65,914.45,970.65,1895209.086
1609754400000,970.65,986.00,890.00,977.12,1398086.845
1609761600000,977.08,1031.70,956.03,1013.60,1130724.857
1609768800000,1013.80,1059.28,1002.36,1041.19,988206.484
1609776000000,1041.09,1050.18,983.42,1000.96,1012508.692
1609783200000,1000.95,1050.00,1000.12,1044.41,438024.463
1609790400000,1044.28,1052.04,993.02,1007.42,539213.478
1609797600000,1007.42,1049.00,1001.95,1043.11,365786.494
1609804800000,1043.12,1138.92,1042.99,1118.40,1158947.962
1609812000000,1118.35,1120.00,994.99,1001.32,796621.353
1609819200000,1001.42,1031.65,974.23,990.92,881961.278
1609826400000,990.96,1026.00,979.95,1004.14,448209.489
1609833600000,1004.37,1052.44,1004.15,1037.75,498802.166
1609840800000,1037.74,1045.67,1016.00,1044.18,350781.114
1609848000000,1044.18,1059.00,1024.02,1025.28,390002.967
1609855200000,1025.51,1066.48,1002.18,1053.98,613349.246
1609862400000,1053.88,1087.52,1037.65,1084.18,511597.621
1609869600000,1083.97,1114.50,1045.56,1100.01,892961.237
1609876800000,1100.10,1106.00,1075.00,1083.50,451866.375
1609884000000,1083.58,1129.02,1081.00,1101.29,530996.285
1609891200000,1101.29,1113.69,1057.30,1073.03,542450.022
1609898400000,1073.10,1088.60,1063.04,1077.07,255092.135
1609905600000,1077.06,1146.00,1074.68,1104.55,788333.369
1609912800000,1104.54,1126.64,1091.43,1107.01,388274.470
1609920000000,1107.17,1126.67,1092.00,1101.74,502873.964
1609927200000,1101.60,1179.00,1099.46,1159.56,740847.793
1609934400000,1159.60,1168.49,1123.34,1137.98,473994.391
1609941600000,1137.96,1156.68,1127.34,1144.00,401300.157
1609948800000,1144.00,1214.43,1144.00,1195.75,988492.172
1609956000000,1195.80,1214.07,1154.80,1162.33,539477.573
1609963200000,1162.33,1211.57,1112.02,1182.49,993942.205
1609970400000,1182.75,1218.00,1173.40,1212.64,337783.302
1609977600000,1212.98,1226.52,1188.96,1203.79,435910.686
1609984800000,1203.92,1230.00,1181.00,1218.26,359533.619
1609992000000,1218.21,1221.99,1205.00,1210.44,250786.561
1609999200000,1210.45,1214.65,1180.31,1187.28,286070.770
1610006400000,1187.27,1208.22,1160.00,1208.12,390837.591
1610013600000,1208.12,1209.89,1183.10,1205.05,245594.090
1610020800000,1205.11,1234.62,1201.00,1221.39,461102.351
1610028000000,1221.32,1257.14,1216.07,1253.74,413762.056
1610035200000,1253.98,1283.00,1242.00,1275.48,583049.846
1610042400000,1275.59,1297.15,1150.00,1236.50,1545523.430
1610049600000,1236.50,1269.98,1225.19,1256.78,413232.047
1610056800000,1256.80,1262.79,1203.39,1227.12,422387.963
1610064000000,1227.50,1235.26,1160.47,1186.67,500818.466
1610071200000,1186.44,1188.34,1064.60,1150.95,1195857.768
1610078400000,1151.01,1178.40,1142.30,1149.40,431738.170
1610085600000,1149.56,1215.34,1125.75,1209.09,492668.274
1610092800000,1209.11,1225.81,1187.07,1224.07,362094.895
1610100000000,1223.92,1275.25,1218.65,1259.41,685000.916
1610107200000,1259.63,1279.06,1223.10,1252.25,585280.824
1610114400000,1252.25,1269.09,1171.05,1217.52,809039.572
1610121600000,1217.65,1245.43,1200.21,1217.15,412730.394
1610128800000,1217.41,1223.80,1173.33,1185.70,493769.798
1610136000000,1185.70,1197.00,1136.71,1195.10,717942.892
1610143200000,1195.15,1231.42,1167.42,1218.39,307831.265
1610150400000,1218.55,1236.96,1173.00,1200.15,451864.945
1610157600000,1200.12,1234.00,1179.45,1229.03,329893.207
1610164800000,1229.04,1229.74,1181.35,1186.08,279662.899
1610172000000,1186.30,1201.41,1173.20,1198.00,301160.392
